--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:19:18 2023

{'pid': 1932, 'username': 'ragnar20-03', 'name': 'dbus-daemon', 'vms': 9.45703125}
{'pid': 1938, 'username': 'ragnar20-03', 'name': 'gnome-keyring-daemon', 'vms': 243.828125}
{'pid': 1943, 'username': 'ragnar20-03', 'name': 'gvfsd', 'vms': 243.44921875}
{'pid': 1956, 'username': 'ragnar20-03', 'name': 'gvfsd-fuse', 'vms': 371.9609375}
{'pid': 1959, 'username': 'ragnar20-03', 'name': 'xdg-document-portal', 'vms': 460.76953125}
{'pid': 1966, 'username': 'ragnar20-03', 'name': 'xdg-permission-store', 'vms': 239.0625}
{'pid': 1974, 'username': 'ragnar20-03', 'name': 'fusermount3', 'vms': 2.7265625}
{'pid': 1990, 'username': 'ragnar20-03', 'name': 'tracker-miner-fs-3', 'vms': 700.77734375}
{'pid': 2001, 'username': 'root', 'name': 'krfcommd', 'vms': 0.0}
{'pid': 2004, 'username': 'ragnar20-03', 'name': 'gdm-x-session', 'vms': 167.0703125}
{'pid': 2006, 'username': 'ragnar20-03', 'name': 'Xorg', 'vms': 7830.25}
{'pid': 2028, 'username': 'ragnar20-03', 'name': 'gvfs-udisks2-volume-monitor', 'vms': 317.2265625}
{'pid': 2037, 'username': 'ragnar20-03', 'name': 'gvfs-gphoto2-volume-monitor', 'vms': 240.421875}
{'pid': 2041, 'username': 'ragnar20-03', 'name': 'gvfs-afc-volume-monitor', 'vms': 316.26171875}
{'pid': 2046, 'username': 'ragnar20-03', 'name': 'gvfs-goa-volume-monitor', 'vms': 240.1328125}
{'pid': 2050, 'username': 'ragnar20-03', 'name': 'goa-daemon', 'vms': 713.58203125}
{'pid': 2064, 'username': 'ragnar20-03', 'name': 'goa-identity-service', 'vms': 338.91796875}
{'pid': 2070, 'username': 'ragnar20-03', 'name': 'gvfs-mtp-volume-monitor', 'vms': 239.36328125}
{'pid': 2158, 'username': 'ragnar20-03', 'name': 'gnome-keyring-daemon', 'vms': 243.43359375}
{'pid': 2165, 'username': 'ragnar20-03', 'name': 'gnome-session-binary', 'vms': 226.265625}
{'pid': 2168, 'username': 'ragnar20-03', 'name': 'snapd-desktop-integration', 'vms': 74.46484375}
{'pid': 2311, 'username': 'ragnar20-03', 'name': 'snapd-desktop-integration', 'vms': 961.99609375}
{'pid': 2320, 'username': 'ragnar20-03', 'name': 'at-spi-bus-launcher', 'vms': 302.5234375}
{'pid': 2326, 'username': 'ragnar20-03', 'name': 'dbus-daemon', 'vms': 8.359375}
{'pid': 2349, 'username': 'ragnar20-03', 'name': 'gnome-session-ctl', 'vms': 98.203125}
{'pid': 2360, 'username': 'ragnar20-03', 'name': 'gnome-session-binary', 'vms': 443.48046875}
{'pid': 2369, 'username': 'ragnar20-03', 'name': 'xdg-desktop-portal', 'vms': 473.609375}
{'pid': 2374, 'username': 'ragnar20-03', 'name': 'xdg-desktop-portal-gnome', 'vms': 1410.203125}
{'pid': 2391, 'username': 'ragnar20-03', 'name': 'gnome-shell', 'vms': 5697.7890625}
{'pid': 2435, 'username': 'ragnar20-03', 'name': 'xdg-desktop-portal-gtk', 'vms': 343.5234375}
{'pid': 2449, 'username': 'ragnar20-03', 'name': 'at-spi2-registryd', 'vms': 158.9375}
{'pid': 2451, 'username': 'ragnar20-03', 'name': 'gjs', 'vms': 2879.04296875}
{'pid': 2489, 'username': 'ragnar20-03', 'name': 'gnome-shell-calendar-server', 'vms': 776.98828125}
{'pid': 2497, 'username': 'ragnar20-03', 'name': 'evolution-source-registry', 'vms': 675.328125}
{'pid': 2502, 'username': 'ragnar20-03', 'name': 'dconf-service', 'vms': 153.4140625}
{'pid': 2503, 'username': 'ragnar20-03', 'name': 'gvfsd-metadata', 'vms': 167.8203125}
{'pid': 2514, 'username': 'ragnar20-03', 'name': 'evolution-calendar-factory', 'vms': 1192.64453125}
{'pid': 2524, 'username': 'ragnar20-03', 'name': 'evolution-addressbook-factory', 'vms': 736.93359375}
{'pid': 2550, 'username': 'ragnar20-03', 'name': 'gvfsd-trash', 'vms': 315.9375}
{'pid': 2561, 'username': 'ragnar20-03', 'name': 'gjs', 'vms': 2807.00390625}
{'pid': 2581, 'username': 'ragnar20-03', 'name': 'sh', 'vms': 2.8203125}
{'pid': 2582, 'username': 'ragnar20-03', 'name': 'gsd-a11y-settings', 'vms': 311.6015625}
{'pid': 2584, 'username': 'ragnar20-03', 'name': 'ibus-daemon', 'vms': 316.51953125}
{'pid': 2585, 'username': 'ragnar20-03', 'name': 'gsd-color', 'vms': 605.12109375}
{'pid': 2587, 'username': 'ragnar20-03', 'name': 'gsd-datetime', 'vms': 375.12109375}
{'pid': 2589, 'username': 'ragnar20-03', 'name': 'gsd-housekeeping', 'vms': 313.0703125}
{'pid': 2590, 'username': 'ragnar20-03', 'name': 'gsd-keyboard', 'vms': 341.9296875}
