--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:15:14 2023
--------------------------------------------------------------------------------

{'pid': 1943, 'name': 'gvfsd', 'username': 'ragnar20-03', 'vms': 243.44921875}
{'pid': 1956, 'name': 'gvfsd-fuse', 'username': 'ragnar20-03', 'vms': 371.9609375}
{'pid': 1959, 'name': 'xdg-document-portal', 'username': 'ragnar20-03', 'vms': 460.76953125}
{'pid': 1966, 'name': 'xdg-permission-store', 'username': 'ragnar20-03', 'vms': 239.0625}
{'pid': 1974, 'name': 'fusermount3', 'username': 'ragnar20-03', 'vms': 2.7265625}
{'pid': 1990, 'name': 'tracker-miner-fs-3', 'username': 'ragnar20-03', 'vms': 700.77734375}
{'pid': 2001, 'name': 'krfcommd', 'username': 'root', 'vms': 0.0}
{'pid': 2004, 'name': 'gdm-x-session', 'username': 'ragnar20-03', 'vms': 167.0703125}
{'pid': 2006, 'name': 'Xorg', 'username': 'ragnar20-03', 'vms': 7829.74609375}
{'pid': 2028, 'name': 'gvfs-udisks2-volume-monitor', 'username': 'ragnar20-03', 'vms': 317.2265625}
{'pid': 2037, 'name': 'gvfs-gphoto2-volume-monitor', 'username': 'ragnar20-03', 'vms': 240.421875}
{'pid': 2041, 'name': 'gvfs-afc-volume-monitor', 'username': 'ragnar20-03', 'vms': 316.26171875}
{'pid': 2046, 'name': 'gvfs-goa-volume-monitor', 'username': 'ragnar20-03', 'vms': 240.1328125}
{'pid': 2050, 'name': 'goa-daemon', 'username': 'ragnar20-03', 'vms': 713.58203125}
{'pid': 2064, 'name': 'goa-identity-service', 'username': 'ragnar20-03', 'vms': 338.91796875}
{'pid': 2070, 'name': 'gvfs-mtp-volume-monitor', 'username': 'ragnar20-03', 'vms': 239.36328125}
{'pid': 2158, 'name': 'gnome-keyring-daemon', 'username': 'ragnar20-03', 'vms': 243.43359375}
{'pid': 2165, 'name': 'gnome-session-binary', 'username': 'ragnar20-03', 'vms': 226.265625}
{'pid': 2168, 'name': 'snapd-desktop-integration', 'username': 'ragnar20-03', 'vms': 74.46484375}
{'pid': 2311, 'name': 'snapd-desktop-integration', 'username': 'ragnar20-03', 'vms': 961.99609375}
{'pid': 2320, 'name': 'at-spi-bus-launcher', 'username': 'ragnar20-03', 'vms': 302.5234375}
{'pid': 2326, 'name': 'dbus-daemon', 'username': 'ragnar20-03', 'vms': 8.359375}
{'pid': 2349, 'name': 'gnome-session-ctl', 'username': 'ragnar20-03', 'vms': 98.203125}
{'pid': 2360, 'name': 'gnome-session-binary', 'username': 'ragnar20-03', 'vms': 443.48046875}
{'pid': 2369, 'name': 'xdg-desktop-portal', 'username': 'ragnar20-03', 'vms': 473.609375}
{'pid': 2374, 'name': 'xdg-desktop-portal-gnome', 'username': 'ragnar20-03', 'vms': 1410.203125}
{'pid': 2391, 'name': 'gnome-shell', 'username': 'ragnar20-03', 'vms': 5697.59765625}
{'pid': 2435, 'name': 'xdg-desktop-portal-gtk', 'username': 'ragnar20-03', 'vms': 343.5234375}
{'pid': 2449, 'name': 'at-spi2-registryd', 'username': 'ragnar20-03', 'vms': 158.9375}
{'pid': 2451, 'name': 'gjs', 'username': 'ragnar20-03', 'vms': 2879.04296875}
{'pid': 2489, 'name': 'gnome-shell-calendar-server', 'username': 'ragnar20-03', 'vms': 776.98828125}
{'pid': 2497, 'name': 'evolution-source-registry', 'username': 'ragnar20-03', 'vms': 675.328125}
{'pid': 2502, 'name': 'dconf-service', 'username': 'ragnar20-03', 'vms': 153.4140625}
{'pid': 2503, 'name': 'gvfsd-metadata', 'username': 'ragnar20-03', 'vms': 167.8203125}
{'pid': 2514, 'name': 'evolution-calendar-factory', 'username': 'ragnar20-03', 'vms': 1192.64453125}
{'pid': 2524, 'name': 'evolution-addressbook-factory', 'username': 'ragnar20-03', 'vms': 736.93359375}
{'pid': 2550, 'name': 'gvfsd-trash', 'username': 'ragnar20-03', 'vms': 315.9375}
{'pid': 2561, 'name': 'gjs', 'username': 'ragnar20-03', 'vms': 2807.00390625}
{'pid': 2581, 'name': 'sh', 'username': 'ragnar20-03', 'vms': 2.8203125}
{'pid': 2582, 'name': 'gsd-a11y-settings', 'username': 'ragnar20-03', 'vms': 311.6015625}
{'pid': 2584, 'name': 'ibus-daemon', 'username': 'ragnar20-03', 'vms': 316.51953125}
{'pid': 2585, 'name': 'gsd-color', 'username': 'ragnar20-03', 'vms': 605.12109375}
{'pid': 2587, 'name': 'gsd-datetime', 'username': 'ragnar20-03', 'vms': 375.12109375}
{'pid': 2589, 'name': 'gsd-housekeeping', 'username': 'ragnar20-03', 'vms': 313.0703125}
{'pid': 2590, 'name': 'gsd-keyboard', 'username': 'ragnar20-03', 'vms': 341.9296875}
{'pid': 2591, 'name': 'gsd-media-keys', 'username': 'ragnar20-03', 'vms': 853.3046875}
{'pid': 2592, 'name': 'gsd-power', 'username': 'ragnar20-03', 'vms': 449.34375}
{'pid': 2594, 'name': 'gsd-print-notifications', 'username': 'ragnar20-03', 'vms': 252.4453125}
{'pid': 2599, 'name': 'gsd-rfkill', 'username': 'ragnar20-03', 'vms': 455.57421875}
{'pid': 2602, 'name': 'gsd-screensaver-proxy', 'username': 'ragnar20-03', 'vms': 239.19921875}
{'pid': 2605, 'name': 'gsd-sharing', 'username': 'ragnar20-03', 'vms': 463.4765625}
{'pid': 2606, 'name': 'gsd-smartcard', 'username': 'ragnar20-03', 'vms': 313.4375}
{'pid': 2609, 'name': 'gsd-sound', 'username': 'ragnar20-03', 'vms': 320.30859375}
{'pid': 2622, 'name': 'gsd-wacom', 'username': 'ragnar20-03', 'vms': 342.2265625}
{'pid': 2624, 'name': 'gsd-disk-utility-notify', 'username': 'ragnar20-03', 'vms': 226.8203125}
{'pid': 2625, 'name': 'gsd-xsettings', 'username': 'ragnar20-03', 'vms': 343.75390625}
{'pid': 2629, 'name': 'evolution-alarm-notify', 'username': 'ragnar20-03', 'vms': 738.69140625}
{'pid': 2641, 'name': 'ibus-dconf', 'username': 'ragnar20-03', 'vms': 240.203125}
{'pid': 2642, 'name': 'ibus-extension-gtk3', 'username': 'ragnar20-03', 'vms': 274.625}
{'pid': 2647, 'name': 'ibus-x11', 'username': 'ragnar20-03', 'vms': 198.0859375}
{'pid': 2650, 'name': 'ibus-portal', 'username': 'ragnar20-03', 'vms': 240.14453125}
{'pid': 2695, 'name': 'gsd-printer', 'username': 'ragnar20-03', 'vms': 342.78125}
{'pid': 2729, 'name': 'snap-store', 'username': 'ragnar20-03', 'vms': 838.15234375}
{'pid': 2797, 'name': 'ibus-engine-simple', 'username': 'ragnar20-03', 'vms': 168.09765625}
{'pid': 2952, 'name': 'fwupd', 'username': 'root', 'vms': 392.4453125}
